Role,Course Number,Course,Institution,Start Semester,Start Year,End Semester,End Year,Note,Description,Extended Description
Primary Instructor,Math 321,Abstract Algebra,George Mason University,Summer,2021,,,"Virtual, synchronous",,
Primary Instructor,Math 271,Mathematics for Elementary Teachers I,George Mason University,Spring,2021,,,"Virtual, synchronous, two sections",Active learning component. Managed and mentored four undergraduate learning assistants.,
Primary Instructor,Math 114,Calculus II,George Mason University,Fall,2020,,,"Virtual, synchronous with asynchronous option",Managed and mentored three undergraduate learning assistants and a graduate teaching assistant.,
Primary Instructor,Math 271,Mathematics for Elementary Teachers I,George Mason University,Fall,2020,,,"Virtual, synchronous",Active learning component. Managed and mentored two undergraduate learning assistants.,Collaborated with a faculty member to convert course to virtual format.
Primary Instructor and Course Creator,Math 440,"The Lab of Geometry at Michigan, LoGM",University of Michigan,Winter,2020,,,,"This course is a mathematics research experience course for undergraduates, with computational components.","Created the course in Fall 2019 as an extension of the existing Lab of Geometry program.
- Recruited and managed collaborators Samuel Hansen (University of Michigan mathematics librarian)
and Rachel Webb (University of Michigan mathematics PhD student)
- Designed a course in which students learned technical skills, presentation skills, writing skills, project
management skills, and more, in a project-focused course on topics in modern mathematics research
that are beyond the scope of the standard department curriculum.
- Supervised the development of original course material. Reviewed and assessed material developed
by collaborators for technical and presentation focused modules. Both independently and collabora- tively developed remaining original course material, including syllabi, assessments, rubrics, feedback and evaluation forms, and more. All material development informed by modern research on best practices in mathematics education."
Primary Instructor and Course Creator,Math 440,"The Lab of Geometry at Michigan, LoGM",University of Michigan,Fall,2019,,,,"This course is a mathematics research experience course for undergraduates, with computational components.","Created the course in Fall 2019 as an extension of the existing Lab of Geometry program.
- Recruited and managed collaborators Samuel Hansen (University of Michigan mathematics librarian)
and Rachel Webb (University of Michigan mathematics PhD student)
- Designed a course in which students learned technical skills, presentation skills, writing skills, project
management skills, and more, in a project-focused course on topics in modern mathematics research
that are beyond the scope of the standard department curriculum.
- Supervised the development of original course material. Reviewed and assessed material developed
by collaborators for technical and presentation focused modules. Both independently and collabora- tively developed remaining original course material, including syllabi, assessments, rubrics, feedback and evaluation forms, and more. All material development informed by modern research on best practices in mathematics education."
Primary Instructor,Math 217,Linear Algebra with Introduction to Proof,University of Michigan,Fall,2019,,,,Inquiry Based Learning (IBL) Course,"Managed all facets of my own section, including writing daily short quizzes. - Contributed to development of homework and exams.
- Developed new worksheet material and refined existing material.
- Taught the course in an Inquiry Based Learning (IBL) style."
Primary Instructor,Math 217,Linear Algebra with Introduction to Proof,University of Michigan,Winter,2019,,,Two sections,Inquiry Based Learning (IBL) Course,"Managed all facets of my own section, including writing daily short quizzes. - Contributed to development of homework and exams.
- Developed new worksheet material and refined existing material.
- Taught the course in an Inquiry Based Learning (IBL) style."
Primary Instructor,Math 217,Linear Algebra with Introduction to Proof,University of Michigan,Fall,2018,,,Two sections,Inquiry Based Learning (IBL) Course,"Managed all facets of my own section, including writing daily short quizzes. - Contributed to development of homework and exams.
- Developed new worksheet material and refined existing material.
- Taught the course in an Inquiry Based Learning (IBL) style."
Primary Instructor,Math 217,Linear Algebra with Introduction to Proof,University of Michigan,Fall,2017,,,Two sections,Inquiry Based Learning (IBL) Course,"Managed all facets of my own section, including writing daily short quizzes. - Contributed to development of homework and exams.
- Developed new worksheet material and refined existing material.
- Taught the course in an Inquiry Based Learning (IBL) style."
Primary Instructor,Math 310,Explorations in Probability,University of Michigan,Winter,2017,,,,Inquiry Based Learning (IBL) Course. Mentored one undergraduate course assistant.,"Managed all facets of my own section, including writing all quizzes and major assessments. Managed
and mentored 1 undergraduate course assistant.
- Taught the course in an Inquiry Based Learning (IBL) style."
Primary Instructor,Math 490,Introduction to Topology,University of Michigan,Fall,2016,,,,Inquiry Based Learning (IBL) Course. Mentored one undergraduate course assistant.,"Managed all facets of my own section, including writing all exams. Managed and mentored 1 under- graduate course assistant.
- Contributed new course material to an existing repository.
- Taught the course in an Inquiry Based Learning (IBL) style."
Primary Instructor,Math 36,Applied Calculus II,Tufts University,Fall,2015,,,,Active learning component.,"
- Managed my own section: this included delivering all lectures.
- Collaborated with a mentor to produce course materials, including the syllabus, weekly quizzes,
exams, in-class activities, and other resources.
- Experimental teaching: during select class periods, created and shared video lectures electronically
with students to view preceding class time, then assigned activities and problems during class. As-
signed exercises to engage students actively in the material every class period.
- Wrote Mathematica CDFs to supplement course material."
Primary Instructor,Math 19,The Mathematics of Social Choice,Tufts University,Spring,2015,,,,,"Managed my own section: included delivering the lectures and generating all course materials, such
as the syllabus, homework, daily quizzes, exams, and other resources.
- Wrote Mathematica CDFs to supplement course material."
Primary Instructor,Math 19,The Mathematics of Social Choice,Tufts University,Fall,2014,,,,,"Managed my own section: included delivering the lectures and generating all course materials, such
as the syllabus, homework, daily quizzes, exams, and other resources.
- Wrote Mathematica CDFs to supplement course material."
"
Online Course Moderator and Research Assistant",,Poincar\'e Institute for Mathematics Education,Tufts University,Fall,2012,Summer,2014,,,"Moderated online discussion, composed and edited course materials, provided supplementary office
hours using Adobe Connect."
